显示名,靶点,PMID,发表日期,期刊,阶段,样本量,关键疗效结果,安全性要点,备注
Gocatamig/MK-6070/HPN328,DLL3×CD3×albumin,41041866,2026 Feb,Mol Cancer Ther,"摘要提及 'A phase I/II trial of MK-6070 is currently underway, which includes an NEPC cohort (NCT04471727)'(本论文本身为临床前研究)",摘要未注明(临床前研究),摘要未报告 ORR,摘要未报告,"临床前研究: 神经内分泌前列腺癌(NEPC)模型中 MK-6070 的抗肿瘤活性, 'high specificity and antitumor activity in DLL3-expressing NEPC models both in vitro and in vivo'; 无临床疗效数字; 另一篇 PMID 40496850 为 Front Immunol 2025 May SCLC DLL3 综述, 仅提及 HPN328 无具体数据, 未单列"
Xaluritamig/AMG 509,STEAP1×CD3,42455319,2026-07,Mol Biol Rep,摘要未注明,不适用(系统综述),Xaluritamig achieved a 59% PSA50 response,摘要未报告,"CRPC 免疫治疗系统综述;仅转述 Xaluritamig PSA50 数据,非原始临床试验报告; 复核注: 两个数字均来自二手综述且终点不一致 (PSA50 vs responses), 待原始临床报告"
Xaluritamig/AMG 509,STEAP1×CD3,41976311,2026-03,Cancers (Basel),摘要未注明(综述覆盖 phase I-III),55 phase I-III trials(综述),"In metastatic castration-resistant prostate cancer, xaluritamig produced ~41% responses in heavily pretreated patients.",Step-up dosing reduced severe cytokine release syndrome to <1%,"实体瘤 CD3 TCE 综述;mCRPC 适应症;另提及 pivotal trials underway; 复核注: 两个数字均来自二手综述且终点不一致 (PSA50 vs responses), 待原始临床报告"
Brenetafusp/IMC-F106C,PRAME peptide–HLA-A*02:01×CD3,40161761,2025-11,bioRxiv [Preprint],临床前(体外/组织样本),N=77 tissue microarray; N=165 patient samples(数据库),摘要未报告 ORR,摘要未报告,"预印本(后正式发表于 J Immunother Cancer 2026);NUT 癌临床前研究;使用仿 brenetafusp 的 αPRAME425 TCR×CD3 双抗,体外显示 potent T-cell mediated cytotoxicity,无临床数据"
IBI389,CLDN18.2×CD3,41540424,2026-01,BMC Med,phase 1,121 patients,"the ORR was 22.2% (6/27; 95% CI, 8.6-42.3) and DCR was 74.1% (20/27; 95% CI, 53.7-88.9). Median progression-free survival (PFS) was 4.3 months (95% CI, 2.7-7.2), and median overall survival (OS) was 10.3 months (95% CI, 6.6-not calculable).","Cytokine release syndrome (CRS) related adverse events occurred in 72 patients (59.5%), all grades 1-2 except one grade 3 event. No neurotoxicity or treatment-related deaths were observed.",剂量递增+扩展; n=121 为安全性全集; ORR 22.2% (6/27) 仅限 CLDN18.2 2+/3+ ≥10% 的 GC/GEJC 疗效亚组; NCT05164458; 另一篇 PMID 41969434 为临床前研究未收录
AMG 910,CLDN18.2×CD3,37507075,2023-11,Gastroenterology,临床前,不适用(临床前模型),摘要未报告 ORR,摘要未报告,"临床前 GC/PDAC 模型研究;AMG 910 单药及联合 PD-1 抑制剂在临床前模型中抑制肿瘤生长,无临床数据"
AMG 596,EGFRvIII×CD3,41689667,2026-02,Clin Exp Med,摘要未注明(综述提及 phase I),不适用(综述),摘要未报告 ORR,the risk of neurotoxicity or cytokine release syndrome (CRS)(泛述),"胶质瘤 TCE 综述;仅称 ""phase I clinical studies with AMG 596 have shown acceptable safety profiles and early indications of efficacy"",无具体疗效数字"
IMC-C103C,MAGE-A4 peptide–HLA-A*02:01×CD3,42476725,2026-07,J Immunother Cancer,phase 1/2,68 patients,"摘要未报告 ORR;""demonstrated clinical activity in multiple patients with MAGE-A4+ solid tumors"";""patients with MAGE-A4+ OC had deeper reductions in tumor size and circulating tumor DNA and trended to have longer overall survival""","The most common treatment-related adverse events were cytokine-mediated, including grade 1/2 cytokine release syndrome. There were no treatment-related discontinuations or deaths.",NCT03973333;剂量递增 56 例(64% 卵巢癌)+卵巢癌扩展 12 例;扩展剂量 15-45-140 µg;MAGE-A4 表达普遍较低限制疗效评估
Solitomab/MT110,EpCAM×CD3,37190054,2023 Apr,Cells,摘要未注明（临床前 PDX 体外筛选）,30 个 PDX 模型的 3D 体外肿瘤面板（无患者）,"摘要未报告 ORR; ""Solitomab displayed a strong response across many PDX models in terms of tumor reduction and killing, allowing for its subsequent use as a positive control for ICIs.""",摘要未报告,"3D 水凝胶 PDX  panel 方法学论文（临床前）; Solitomab 作为 CD3/EpCAM BiTE 阳性对照药测试; 2023+ 未检索到该产品人体临床结果文献; 原命中 PMID 39759138 为 BiTE 综述且摘要未提及本产品, 已剔除"
HLX3901,DLL3×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
TAK-280,B7-H3×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
AMG 340,PSMA×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
CX-904,EGFR×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
BA3182,EpCAM×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
ISB 1302,HER2×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
BA1202,CEA×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
KGX105,EGFR×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
QLF4113,PSMA×CD3×CD2,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
M802,HER2×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
JANX007,PSMA×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
JANX008,EGFR×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
REGN4336,PSMA×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
PF-07062119,GUCY2C×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
Tidutamab/XmAb18087,SSTR2×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
MGD007,gpA33×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
HPN536,MSLN×CD3×albumin,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
PF-06671008,P-cadherin×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,
CC-1,PSMA×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,"PubMed 'CC-1' 命中均为 '%ID cc-1' 单位误配（放疗/影像论文）, 非本产品"
CM350,GPC3×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,"PubMed 'CM350' 唯一命中为双酚环氧树脂化工论文, 非本产品"
Pasritamig/JNJ-78278343,KLK2×CD3,40450573,2025 Aug,J Clin Oncol,phase I,"174 participants (RP2D 安全性人群 n=45, RP2D 疗效人群 n=33)","In the RP2D efficacy population (n = 33), median radiographic progression-free survival was 7.85 (95% CI, 2.89 to not estimable) months, and 14 of 33 (42.4%) participants achieved a ≥50% decrease from baseline in prostate-specific antigen.","In the RP2D safety population (n = 45), infusion-related reactions (11/45, 24.4%), fatigue (7/45, 15.6%), cytokine release syndrome (CRS; 4/45, 8.9%, all grade 1), and lipase increase (4/45, 8.9%) were the most frequent TRAEs; all were grade 1 or 2.","mCRPC I 期 FIH 剂量递增研究; KLK2 first-in-class 靶点; v2 新增 (原 JNJ-78278343); 另一篇 PMID 41993992 为 ASCO/ESMO 2025 系统综述, 仅提及名字"
Alveltamig/ZG006,DLL3×DLL3×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,"v2 更名 (原 ZG006), 厂家裁定泽璟生物"
Nivatrotamab/Hu3F8-BsAb,GD2×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,"v2 合并 hu3F8 bispecific 行 (同一分子, Y-mAbs/MSK)"
ZGGS34,MUC17×CD3×CD28,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,v2 新增; 中国 I 期 NCT07258121 招募中
HPN424,PSMA×CD3×albumin,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,v2 新增; PubMed 仅 2020 年临床前论文 (2023+ 窗口外); NCT03577028 已终止
Pasotuxizumab/AMG 212/BAY 2010112,PSMA×CD3,37942314,2023 Oct,Front Immunol,摘要未注明 (免疫原性/ADA 根因分析),FIH NCT01723475 受试者 (摘要未给总例数),"摘要未报告 ORR; ""These ADAs were neutralizing and resulted in profound exposure loss that was associated with contemporaneous reversal of initial Prostate Surface Antigen (PSA) responses, curtailing durability of PSA response in patients.""","""Treatment-emergent ADAs (TE-ADA) developed in all subjects treated with at least 1 cycle of AMG 212 in the subcutaneous (SC) arm... Pivoting from SC to a continuous intravenous (CIV) administration route remarkably yielded no subjects developing ADA to AMG 212.""","v2 新增; FIH (NCT01723475) 免疫原性分析, 非疗效报告"
AMG 211/MEDI-565,CEA×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,v2 新增; 3 项 I 期 (2 完成 1 终止)
BI 836909,DLL3×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,v2 新增; PubMed 仅 2017 年临床前论文 (2023+ 窗口外)
GEN1044,5T4×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,v2 新增; NCT04424641 已终止
GEN1047,B7-H4×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,v2 新增; NCT05180474 已终止
VIR-5818/AMX-818/SAR446368,HER2×CD3,,,,,,2023+ PubMed 未检出同行评议临床结果 (ct.gov 登记状态见一阶段),,"v2 新增; v3 主名改 VIR-5818 (formerly AMX-818), 厂家 Vir Biotechnology (原 Amunix/Sanofi); NCT05356741 招募中"
